10	10000	1697
110	10000	13783
210	10000	23329
310	10000	33161
410	10000	43487
510	10000	53051
610	10000	68220
710	10000	74845
810	10000	88476
910	10000	96628
1010	10000	110810
1110	10000	117874
1210	10000	129793
1310	10000	136112
1410	10000	152665
1510	10000	160279
1610	10000	170107
1710	10000	188045
1810	10000	189090
1910	10000	224903
2010	10000	243178
2110	10000	247011
2210	10000	230567
2310	10000	249609
2410	10000	255792
2510	10000	272371
2610	10000	292710
2710	10000	307065
2810	10000	323363
2910	10000	356273
3010	10000	432936
3110	10000	438412
3210	10000	417616
3310	10000	373803
3410	10000	375400
3510	10000	384119
3610	10000	400787
3710	10000	404616
3810	10000	421102
3910	10000	428866
4010	10000	438268
4110	10000	459670
4210	10000	460166
4310	10000	463082
4410	10000	474168
4510	10000	512032
4610	10000	567688
4710	10000	571584
4810	10000	523847
4910	10000	537651
5010	10000	537230
5110	10000	556715
5210	10000	576393
5310	10000	575612
5410	10000	596421
5510	10000	650989
5610	10000	606767
5710	10000	684436
5810	10000	678665
5910	10000	663151
6010	10000	659921
6110	10000	870204
6210	10000	749311
6310	10000	850272
6410	10000	760923
6510	10000	722290
6610	10000	781376
6710	10000	740112
6810	10000	750125
6910	10000	843055
7010	10000	893508
7110	10000	890337
7210	10000	877687
7310	10000	822097
7410	10000	950208
7510	10000	949260
7610	10000	957793
7710	10000	865592
7810	10000	856161
7910	10000	864415
8010	10000	929916
8110	10000	894973
8210	10000	884636
8310	10000	906762
8410	10000	944276
8510	10000	929606
8610	10000	917825
8710	10000	1050264
8810	10000	1060981
8910	10000	1227372
9010	10000	1160550
9110	10000	1193149
9210	10000	1205139
9310	10000	1132027
9410	10000	1140087
9510	10000	1195612
9610	10000	1062418
9710	10000	1109084
9810	10000	1123325
9910	10000	1128130
