0	1
1000	27
2000	34
3000	48
4000	58
5000	93
6000	101
7000	116
8000	118
9000	126
10000	133
11000	146
12000	226
13000	169
14000	146
15000	154
16000	158
17000	247
18000	363
19000	216
20000	238
21000	212
22000	224
23000	224
24000	234
25000	307
26000	318
27000	397
28000	313
29000	301
30000	286
31000	413
32000	550
33000	334
34000	345
35000	345
36000	437
37000	627
38000	400
39000	415
40000	388
41000	399
42000	893
43000	404
44000	407
45000	427
46000	590
47000	445
48000	435
49000	459
50000	503
51000	487
52000	495
53000	474
54000	528
55000	560
56000	517
57000	792
58000	588
59000	548
60000	767
61000	891
62000	581
63000	579
64000	596
65000	645
66000	603
67000	630
68000	760
69000	831
70000	640
71000	660
72000	662
73000	785
74000	1240
75000	776
76000	694
77000	713
78000	800
79000	736
80000	814
81000	774
82000	745
83000	851
84000	819
85000	774
86000	755
87000	988
88000	790
89000	828
90000	820
91000	895
92000	840
93000	973
94000	860
95000	1073
96000	892
97000	927
98000	1107
99000	1015
100000	990
