1000	29
2000	46
3000	41
4000	112
5000	83
6000	125
7000	115
8000	136
9000	192
10000	200
11000	179
12000	163
13000	218
14000	188
15000	203
16000	174
17000	200
18000	302
19000	203
20000	314
21000	271
22000	263
23000	256
24000	304
25000	335
26000	230
27000	258
28000	383
29000	350
30000	317
31000	281
32000	292
33000	349
34000	434
35000	332
36000	421
37000	351
38000	400
39000	522
40000	426
41000	707
42000	564
43000	494
44000	412
45000	445
46000	677
47000	472
48000	646
49000	826
50000	502
51000	523
52000	652
53000	644
54000	556
55000	634
56000	625
57000	556
58000	701
59000	558
60000	699
61000	816
62000	797
63000	840
64000	555
65000	876
66000	933
67000	873
68000	875
69000	613
70000	579
71000	649
72000	637
73000	962
74000	674
75000	634
76000	968
77000	1184
78000	989
79000	722
80000	714
81000	755
82000	1038
83000	732
84000	1327
85000	1418
86000	690
87000	777
88000	948
89000	766
90000	1061
91000	821
92000	922
93000	897
94000	849
95000	1010
96000	956
97000	1552
98000	953
99000	1259
100000	1476
