1000	32887
2000	91940
3000	169118
4000	267286
5000	417816
6000	584470
7000	752084
8000	990127
9000	1203733
10000	1515939
11000	1533289
12000	1837099
13000	2136450
14000	2409319
15000	2689721
16000	3072139
17000	3531480
18000	3854986
19000	4301137
20000	4453658
21000	4829924
22000	5069141
23000	5181843
24000	5634632
25000	5848526
26000	6533715
27000	6697622
28000	7068035
29000	7566948
30000	7858570
31000	8511586
32000	9012738
33000	8860397
34000	9784569
35000	10195096
36000	11462094
37000	10384036
38000	11212375
39000	12646108
40000	12633486
41000	12564390
42000	13928306
43000	13239236
44000	14649820
45000	14019997
46000	13898909
47000	15106189
48000	15999106
49000	17740901
50000	18167076
