Numero de puntos; Tiempo en ms del algoritmo sencillo:; Tiempo en ms del algiritmo DyV:;
10;no provado;65;
20;no provado;75;
30;no provado;202;
40;no provado;297;
50;no provado;239;
60;no provado;302;
70;no provado;473;
80;no provado;397;
90;no provado;532;
100;no provado;679;
