Numero de puntos; Tiempo en ms del algoritmo sencillo:; Tiempo en ms del algiritmo DyV:;
10;8;no provado;
20;59;no provado;
30;61;no provado;
40;70;no provado;
50;132;no provado;
60;162;no provado;
70;195;no provado;
80;246;no provado;
90;260;no provado;
100;319;no provado;
